dataset_name;1;2;3;4;5;best;gap_1;gap_2;gap_3;gap_4;gap_5
26ch130_v2_p2;5940;5940;5895;5940;5895;5940;0;0;0,007575758;0;0,007575758
26ch130_v3_p1;122;122;122;122;122;122;0;0;0;0;0
26ch130_v3_p2;6150;6150;6150;6150;6150;6150;0;0;0;0;0
26ch130_v4_p1;124;124;124;124;124;124;0;0;0;0;0
26ch130_v4_p2;6280;6280;6280;6280;6280;6280;0;0;0;0;0
28pr136_v2_p1;103;103;103;103;103;103;0;0;0;0;0
28pr136_v2_p2;5260;5260;5260;5260;5260;5260;0;0;0;0;0
28pr136_v3_p1;90;90;90;90;90;90;0;0;0;0;0
28pr136_v3_p2;4464;4464;4464;4464;4464;4464;0;0;0;0;0
28pr136_v4_p1;98;98;98;98;98;98;0;0;0;0;0
28pr136_v4_p2;4840;4840;4840;4840;4840;4840;0;0;0;0;0
29pr144_v2_p1;112;112;112;112;112;112;0;0;0;0;0
29pr144_v2_p2;5662;5662;5662;5662;5662;5662;0;0;0;0;0
29pr144_v3_p1;103;103;103;103;103;103;0;0;0;0;0
29pr144_v3_p2;5218;5218;5218;5218;5218;5218;0;0;0;0;0
29pr144_v4_p1;111;111;111;111;111;111;0;0;0;0;0
29pr144_v4_p2;5622;5622;5622;5622;5622;5622;0;0;0;0;0
30ch150_v2_p1;123;123;123;123;123;123;0;0;0;0;0
30ch150_v2_p2;6024;6024;6024;6024;6024;6024;0;0;0;0;0
30ch150_v3_p1;111;111;111;111;111;111;0;0;0;0;0
30ch150_v3_p2;5531;5531;5531;5531;5531;5531;0;0;0;0;0
30ch150_v4_p1;116;116;116;116;116;116;0;0;0;0;0
30ch150_v4_p2;5828;5828;5828;5828;5828;5828;0;0;0;0;0
30kroA150_v2_p1;128;128;128;128;128;128;0;0;0;0;0
30kroA150_v2_p2;6564;6564;6564;6564;6564;6564;0;0;0;0;0
30kroA150_v3_p1;125;125;125;125;125;125;0;0;0;0;0
30kroA150_v3_p2;6351;6351;6351;6351;6351;6351;0;0;0;0;0
30kroA150_v4_p1;132;132;132;132;132;132;0;0;0;0;0
30kroA150_v4_p2;6780;6780;6780;6780;6780;6780;0;0;0;0;0
30kroB150_v2_p1;136;136;136;136;136;136;0;0;0;0;0
30kroB150_v2_p2;6760;6760;6760;6760;6760;6760;0;0;0;0;0
30kroB150_v3_p1;130;130;130;130;130;130;0;0;0;0;0
30kroB150_v3_p2;6461;6461;6461;6461;6396;6461;0;0;0;0;0,010060362
30kroB150_v4_p1;137;137;137;137;137;137;0;0;0;0;0
30kroB150_v4_p2;6800;6800;6800;6800;6800;6800;0;0;0;0;0
31pr152_v2_p1;110;110;110;110;110;110;0;0;0;0;0
31pr152_v2_p2;5559;5559;5559;5559;5559;5559;0;0;0;0;0
31pr152_v3_p1;96;96;96;96;96;96;0;0;0;0;0
31pr152_v3_p2;4968;4968;4968;4968;4968;4968;0;0;0;0;0
31pr152_v4_p1;105;105;105;105;105;105;0;0;0;0;0
31pr152_v4_p2;5387;5387;5387;5387;5387;5387;0;0;0;0;0
32u159_v2_p1;127;127;127;127;127;127;0;0;0;0;0
32u159_v2_p2;6540;6529;6529;6529;6529;6540;0;0,001681957;0,001681957;0,001681957;0,001681957
32u159_v3_p1;107;107;107;107;107;107;0;0;0;0;0
32u159_v3_p2;5452;5452;5452;5452;5452;5452;0;0;0;0;0
32u159_v4_p1;109;109;109;109;109;109;0;0;0;0;0
32u159_v4_p2;5573;5573;5573;5573;5573;5573;0;0;0;0;0
39rat195_v2_p1;133;133;133;133;133;133;0;0;0;0;0
39rat195_v2_p2;6644;6644;6644;6644;6644;6644;0;0;0;0;0
39rat195_v3_p1;122;122;122;122;122;122;0;0;0;0;0
39rat195_v3_p2;6058;6058;6058;6058;6058;6058;0;0;0;0;0
39rat195_v4_p1;124;124;124;124;124;124;0;0;0;0;0
39rat195_v4_p2;6149;6149;6149;6149;6149;6149;0;0;0;0;0
40d198_v2_p1;125;125;125;125;125;125;0;0;0;0;0
40d198_v2_p2;6369;6369;6369;6369;6280;6369;0;0;0;0;0,013973936
40d198_v3_p1;94;94;94;94;94;94;0;0;0;0;0
40d198_v3_p2;4713;4713;4713;4713;4713;4713;0;0;0;0;0
40d198_v4_p1;94;94;94;94;94;94;0;0;0;0;0
40d198_v4_p2;4713;4713;4713;4713;4713;4713;0;0;0;0;0
40kroa200_v2_p1;187;187;187;186;187;187;0;0;0;0,005347594;0
40kroa200_v2_p2;9526;9463;9465;9465;9433;9526;0;0,006613479;0,006403527;0,006403527;0,009762755
40kroa200_v3_p1;182;182;182;182;181;182;0;0;0;0;0,005494505
40kroa200_v3_p2;9250;9250;9250;9250;9123;9250;0;0;0;0;0,01372973
40kroa200_v4_p1;191;191;191;190;190;191;0;0;0;0,005235602;0,005235602
40kroa200_v4_p2;9664;9664;9664;9664;9664;9664;0;0;0;0;0
40krob200_v2_p1;177;177;177;177;177;177;0;0;0;0;0
40krob200_v2_p2;8902;8902;8902;8902;8854;8902;0;0;0;0;0,005392047
40krob200_v3_p1;170;170;170;170;170;170;0;0;0;0;0
40krob200_v3_p2;8216;8216;8216;8216;8216;8216;0;0;0;0;0
40krob200_v4_p1;178;178;178;178;178;178;0;0;0;0;0
40krob200_v4_p2;8704;8704;8704;8704;8704;8704;0;0;0;0;0
45ts225_v2_p1;197;196;196;194;196;197;0;0,005076142;0,005076142;0,015228426;0,005076142
45ts225_v2_p2;10139;10139;10139;10054;10030;10139;0;0;0;0,00838347;0,010750567
45ts225_v3_p1;179;179;179;179;179;179;0;0;0;0;0
45ts225_v3_p2;9177;9177;9177;9177;9177;9177;0;0;0;0;0
45ts225_v4_p1;190;190;190;190;190;190;0;0;0;0;0
45ts225_v4_p2;9740;9740;9740;9740;9740;9740;0;0;0;0;0
45tsp225_v2_p1;168;168;168;168;167;168;0;0;0;0;0,005952381
45tsp225_v2_p2;8618;8618;8618;8618;8618;8618;0;0;0;0;0
45tsp225_v3_p1;147;147;146;146;146;147;0;0;0,006802721;0,006802721;0,006802721
45tsp225_v3_p2;7414;7636;7528;7636;7636;7636;0,029072813;0;0,014143531;0;0
45tsp225_v4_p1;154;154;154;154;154;154;0;0;0;0;0
45tsp225_v4_p2;7821;7821;7821;7821;7821;7821;0;0;0;0;0
46pr226_v2_p1;179;179;179;179;179;179;0;0;0;0;0
46pr226_v2_p2;8959;8959;8959;8959;8959;8959;0;0;0;0;0
46pr226_v3_p1;158;158;158;158;158;158;0;0;0;0;0
46pr226_v3_p2;7903;7903;7903;7903;7903;7903;0;0;0;0;0
46pr226_v4_p1;169;169;169;169;169;169;0;0;0;0;0
46pr226_v4_p2;8509;8509;8509;8509;8509;8509;0;0;0;0;0
53gil262_v2_p1;219;219;220;219;219;220;0,004545455;0,004545455;0;0,004545455;0,004545455
53gil262_v2_p2;11153;11197;11197;11197;10962;11197;0,003929624;0;0;0;0,020987765
53gil262_v3_p1;195;195;195;195;193;195;0;0;0;0;0,01025641
53gil262_v3_p2;9689;9678;9689;9689;9653;9689;0;0,001135308;0;0;0,003715554
53gil262_v4_p1;209;209;209;209;207;209;0;0;0;0;0,009569378
53gil262_v4_p2;10338;10338;10338;10338;10338;10338;0;0;0;0;0
53pr264_v2_p1;189;189;189;189;189;189;0;0;0;0;0
53pr264_v2_p2;9528;9528;9528;9528;9528;9528;0;0;0;0;0
53pr264_v3_p1;131;131;131;131;131;131;0;0;0;0;0
53pr264_v3_p2;6588;6588;6588;6588;6588;6588;0;0;0;0;0
53pr264_v4_p1;131;131;131;131;131;131;0;0;0;0;0
53pr264_v4_p2;6588;6588;6588;6588;6588;6588;0;0;0;0;0
56a280_v2_p1;206;204;203;202;204;206;0;0,009708738;0,014563107;0,019417476;0,009708738
56a280_v2_p2;10528;10535;10484;10484;10368;10535;0,000664452;0;0,004841006;0,004841006;0,015851922
56a280_v3_p1;179;179;179;179;179;179;0;0;0;0;0
56a280_v3_p2;9116;9116;9116;9116;9005;9116;0;0;0;0;0,012176393
56a280_v4_p1;185;185;185;185;185;185;0;0;0;0;0
56a280_v4_p2;9423;9423;9423;9274;9274;9423;0;0;0;0,015812374;0,015812374
60pr299_v2_p1;206;206;206;206;206;206;0;0;0;0;0
60pr299_v2_p2;10592;10524;10478;10474;10445;10592;0;0,00641994;0,01076284;0,011140483;0,013878399
60pr299_v3_p1;172;174;172;172;172;174;0,011494253;0;0,011494253;0,011494253;0,011494253
60pr299_v3_p2;8905;8834;8834;8834;8834;8905;0;0,007973049;0,007973049;0,007973049;0,007973049
60pr299_v4_p1;178;178;178;178;178;178;0;0;0;0;0
60pr299_v4_p2;9085;9085;9085;9085;9085;9085;0;0;0;0;0
64lin318_v2_p1;297;298;297;297;298;298;0,003355705;0;0,003355705;0,003355705;0
64lin318_v2_p2;15290;15220;15220;15220;15173;15290;0;0,004578156;0,004578156;0,004578156;0,00765206
64lin318_v3_p1;292;291;292;291;290;292;0;0,003424658;0;0,003424658;0,006849315
64lin318_v3_p2;14966;14973;14966;14924;14903;14973;0,000467508;0;0,000467508;0,003272557;0,004675082
64lin318_v4_p1;302;302;302;302;302;302;0;0;0;0;0
64lin318_v4_p2;15459;15459;15459;15459;15459;15459;0;0;0;0;0
80rd400_v2_p1;392;392;392;393;392;393;0,002544529;0,002544529;0,002544529;0;0,002544529
80rd400_v2_p2;19818;19903;19833;19694;19711;19903;0,004270713;0;0,003517058;0,01050093;0,009646787
80rd400_v3_p1;399;399;399;397;397;399;0;0;0;0,005012531;0,005012531
80rd400_v3_p2;20158;20158;20158;20140;20101;20158;0;0;0;0,000892946;0,002827661
80rd400_v4_p1;399;399;399;399;399;399;0;0;0;0;0
80rd400_v4_p2;20158;20158;20158;20158;20158;20158;0;0;0;0;0
84fl417_v2_p1;370;370;370;370;370;370;0;0;0;0;0
84fl417_v2_p2;19059;19059;19026;19026;19059;19059;0;0;0,001731465;0,001731465;0
84fl417_v3_p1;312;318;319;319;319;319;0,021943574;0,003134796;0;0;0
84fl417_v3_p2;15904;16237;16324;16327;16324;16327;0,025908005;0,005512342;0,000183745;0;0,000183745
84fl417_v4_p1;364;365;366;365;366;366;0,005464481;0,00273224;0;0,00273224;0
84fl417_v4_p2;18653;18712;18737;18712;18665;18737;0,004483108;0,001334258;0;0,001334258;0,003842664
88pr439_v2_p1;429;428;429;428;427;429;0;0,002331002;0;0,002331002;0,004662005
88pr439_v2_p2;21480;21669;21659;21665;21548;21669;0,008722138;0;0,000461489;0,000184596;0,005584014
88pr439_v3_p1;428;429;428;427;426;429;0,002331002;0;0,002331002;0,004662005;0,006993007
88pr439_v3_p2;21736;21710;21695;21710;21710;21736;0;0,001196172;0,001886272;0,001196172;0,001196172
88pr439_v4_p1;438;438;438;438;438;438;0;0;0;0;0
88pr439_v4_p2;22177;22177;22177;22177;22177;22177;0;0;0;0;0
89pcb442_v2_p1;419;418;419;414;418;419;0;0,002386635;0;0,011933174;0,002386635
89pcb442_v2_p2;21109;21214;21060;21063;21090;21214;0,004949562;0;0,007259357;0,007117941;0,005845197
89pcb442_v3_p1;424;426;424;423;424;426;0,004694836;0;0,004694836;0,007042254;0,004694836
89pcb442_v3_p2;21584;21475;21584;21501;21452;21584;0;0,005050037;0;0,003845441;0,006115641
89pcb442_v4_p1;438;438;438;438;437;438;0;0;0;0;0,002283105
89pcb442_v4_p2;22204;22204;22118;22118;22118;22204;0;0;0,003873176;0,003873176;0,003873176
99d493_v2_p1;458;459;459;458;459;459;0,002178649;0;0;0,002178649;0
99d493_v2_p2;23110;23261;23197;23194;23157;23261;0,006491552;0;0,002751386;0,002880358;0,004471003
99d493_v3_p1;415;415;415;415;414;415;0;0;0;0;0,002409639
99d493_v3_p2;20845;21038;21013;21013;21029;21038;0,009173876;0;0,001188326;0,001188326;0,000427797
99d493_v4_p1;457;458;457;458;457;458;0,002183406;0;0,002183406;0;0,002183406
99d493_v4_p2;22993;22967;22936;22903;22923;22993;0;0,001130779;0,002479015;0,003914235;0,003044405
;;;;;;Average;0,001263374;0,000476853;0,000963564;0,001652634;0,002326885
