dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\21eil101_v4_p1.msop;84;84;84;84;84;84;84;84;84;84;84;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\21eil101_v4_p2.msop;4264;4264;4264;4264;4264;4264;4264;4264;4264;4264;4264;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\21lin105_v4_p1.msop;41;41;41;41;41;41;41;41;41;41;41;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\21lin105_v4_p2.msop;1993;1993;1993;1993;1993;1993;1993;1993;1993;1993;1993;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\22pr107_v4_p1.msop;35;35;35;35;35;35;35;35;35;35;35;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\22pr107_v4_p2.msop;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\25pr124_v4_p1.msop;51;51;51;51;51;51;51;51;51;51;51;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\25pr124_v4_p2.msop;2461;2461;2461;2461;2461;2461;2461;2461;2461;2461;2461;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\26bier127_v4_p1.msop;122;123;122;122;122;122;122;123;122;123;123;0,008130081;0;0,008130081;0,008130081;0,008130081;0,008130081;0,008130081;0;0,008130081;0;0,005691057;0,700000037;0;1;0;0;0;0;0;1;0;1;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\26bier127_v4_p2.msop;6138;6218;6218;6218;6161;6218;6218;6134;6181;6218;6218;0,012865873;0;0;0;0,009166935;0;0;0,013509167;0,005950466;0;0,004149244;0,307142846;0;1;1;1;0;1;1;0;0;1;6
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\26ch130_v4_p1.msop;104;107;107;107;104;107;107;107;107;104;107;0,028037383;0;0;0;0,028037383;0;0;0;0;0,028037383;0,008411215;0,300000004;0;1;1;1;0;1;1;1;1;0;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\26ch130_v4_p2.msop;5339;5339;5339;5339;5339;5339;5339;5339;5339;5339;5339;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\28pr136_v4_p1.msop;56;56;56;56;56;56;56;56;56;56;56;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\28pr136_v4_p2.msop;2722;2722;2722;2722;2722;2722;2722;2722;2722;2722;2722;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\29pr144_v4_p1.msop;77;77;77;77;77;77;77;77;77;77;77;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\29pr144_v4_p2.msop;3833;3833;3833;3833;3833;3833;3833;3833;3833;3833;3833;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\30ch150_v4_p1.msop;81;81;81;81;81;81;81;81;81;81;81;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\30ch150_v4_p2.msop;3730;3730;3934;3934;3934;3730;3934;3934;3934;3730;3934;0,051855618;0,051855618;0;0;0;0,051855618;0;0;0;0,051855618;0,020742247;0,399999996;0;0;1;1;1;0;1;1;1;0;6
