dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\30kroA150_v4_p2.msop;7127;7127;7096;7127;7099;7127;7099;7127;7127;7096
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\30kroB150_v4_p1.msop;147;147;147;146;146;147;146;147;146;146
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\30kroB150_v4_p2.msop;7325;7325;7325;7325;7325;7355;7355;7325;7325;7325
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\31pr152_v4_p1.msop;111;111;111;111;111;111;111;111;111;111
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\31pr152_v4_p2.msop;5604;5604;5604;5604;5604;5604;5604;5604;5604;5604
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\32u159_v4_p1.msop;129;129;129;129;129;129;129;129;129;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\32u159_v4_p2.msop;6622;6622;6622;6622;6622;6622;6622;6622;6622;6622
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\39rat195_v4_p1.msop;127;127;127;127;127;127;127;127;127;127
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\39rat195_v4_p2.msop;6369;6369;6369;6369;6369;6369;6369;6369;6369;6369
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\40d198_v4_p1.msop;109;109;109;109;109;109;109;109;109;109
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\40d198_v4_p2.msop;5565;5565;5565;5565;5565;5565;5565;5565;5565;5565
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\40kroa200_v4_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\40kroa200_v4_p2.msop;9865;10058;10058;10058;9970;10058;10058;10058;9958;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\40krob200_v4_p1.msop;186;189;186;186;186;189;186;186;189;186
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\40krob200_v4_p2.msop;9456;9388;9456;9388;9456;9456;9388;9388;9388;9388
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\45ts225_v4_p1.msop;216;216;216;216;216;216;216;216;213;216
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\45ts225_v4_p2.msop;10933;10933;10933;10933;10933;10933;10933;10824;10933;10933
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\45tsp225_v4_p1.msop;167;167;167;167;167;167;167;167;167;167
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\45tsp225_v4_p2.msop;8600;8600;8600;8600;8600;8600;8600;8600;8600;8600
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\46pr226_v4_p1.msop;191;191;191;191;191;191;191;191;191;191
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\46pr226_v4_p2.msop;9617;9609;9609;9609;9610;9617;9609;9609;9609;9609
