dataset_name;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;;d1;d2;d3; d4;d5
30ch150_v4_p1;116;0,601;116;0,719;116;0,558;116;0,58;116;0,581;;0,60;0,72;0,56;0,58;0,58
30ch150_v4_p2;5828;0,487;5828;0,484;5828;0,47;5828;0,483;5828;0,477;;0,49;0,48;0,47;0,48;0,48
30kroA150_v2_p1;128;0,408;128;0,351;128;0,363;128;0,358;128;0,372;;0,41;0,35;0,36;0,36;0,37
30kroA150_v2_p2;6564;0,425;6564;0,426;6564;0,47;6564;0,418;6564;0,432;;0,43;0,43;0,47;0,42;0,43
30kroA150_v3_p1;125;0,603;125;0,506;125;0,477;125;0,481;125;0,514;;0,60;0,51;0,48;0,48;0,51
30kroA150_v3_p2;6351;0,497;6351;0,425;6351;0,493;6351;0,463;6351;0,424;;0,50;0,43;0,49;0,46;0,42
30kroA150_v4_p1;132;0,48;132;0,546;132;0,481;132;0,468;132;0,481;;0,48;0,55;0,48;0,47;0,48
30kroA150_v4_p2;6780;0,468;6780;0,466;6780;0,477;6780;0,47;6780;0,47;;0,47;0,47;0,48;0,47;0,47
30kroB150_v2_p1;136;0,355;136;0,384;136;0,351;136;0,338;136;0,347;;0,36;0,38;0,35;0,34;0,35
30kroB150_v2_p2;6760;0,342;6760;0,362;6760;0,356;6760;0,422;6760;0,352;;0,34;0,36;0,36;0,42;0,35
30kroB150_v3_p1;130;0,399;130;0,397;130;0,389;130;0,393;130;0,394;;0,40;0,40;0,39;0,39;0,39
30kroB150_v3_p2;6461;0,434;6461;0,439;6461;0,51;6461;0,519;6461;0,527;;0,43;0,44;0,51;0,52;0,53
30kroB150_v4_p1;137;0,445;137;0,448;137;0,442;137;0,462;137;0,449;;0,45;0,45;0,44;0,46;0,45
30kroB150_v4_p2;6800;0,463;6800;0,457;6800;0,463;6800;0,464;6800;0,454;;0,46;0,46;0,46;0,46;0,45
31pr152_v2_p1;110;0,647;110;0,614;110;0,565;110;0,583;110;0,591;;0,65;0,61;0,57;0,58;0,59
31pr152_v2_p2;5559;0,5;5559;0,758;5559;0,484;5559;0,757;5559;0,791;;0,50;0,76;0,48;0,76;0,79
31pr152_v3_p1;96;0,489;96;0,45;96;0,464;96;0,462;96;0,47;;0,49;0,45;0,46;0,46;0,47
31pr152_v3_p2;4968;0,484;4968;0,477;4968;0,489;4968;0,476;4968;0,489;;0,48;0,48;0,49;0,48;0,49
31pr152_v4_p1;105;0,523;105;0,525;105;0,549;105;0,527;105;0,535;;0,52;0,53;0,55;0,53;0,54
31pr152_v4_p2;5387;0,527;5387;0,522;5387;0,526;5387;0,528;5387;0,521;;0,53;0,52;0,53;0,53;0,52
32u159_v2_p1;127;0,635;127;0,579;127;0,509;127;0,559;127;0,598;;0,64;0,58;0,51;0,56;0,60
32u159_v2_p2;6529;0,495;6529;0,511;6529;0,542;6529;0,481;6529;0,539;;0,50;0,51;0,54;0,48;0,54
32u159_v3_p1;107;0,515;107;0,534;107;0,534;107;0,513;107;0,5;;0,52;0,53;0,53;0,51;0,50
32u159_v3_p2;5452;0,52;5452;0,531;5452;0,562;5452;0,583;5452;0,569;;0,52;0,53;0,56;0,58;0,57
32u159_v4_p1;109;0,583;109;0,563;109;0,576;109;0,577;109;0,6;;0,58;0,56;0,58;0,58;0,60
32u159_v4_p2;5573;0,58;5573;0,57;5573;0,582;5573;0,607;5573;0,568;;0,58;0,57;0,58;0,61;0,57
39rat195_v2_p1;133;1.119;133;0,979;133;0,965;133;0,91;133;1.019;;1,12;0,98;0,97;0,91;1,02
39rat195_v2_p2;6644;0,972;6644;1.131;6644;1.118;6644;1.259;6644;1.025;;0,97;1,13;1,12;1,26;1,03
39rat195_v3_p1;122;0,856;122;0,826;122;0,836;122;0,883;122;0,857;;0,86;0,83;0,84;0,88;0,86
