dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
46pr226_v3_p1;46pr226_;v3_;p1;158;0,16;158;0;158;0;158;0;158;0,16;158;0;0;0;0;0;0;;0,155;0,155;0,147;0,147;0,164;0,1536
53gil262_v3_p1;53gil262_;v3_;p1;195;0,17;193;0;195;0;195;0;195;0,17;195;0;0,01025641;0;0;0;0,002051282;;0,174;0;0,182;0,181;0,174;0,17775
53pr264_v3_p1;53pr264_;v3_;p1;131;0,21;131;0;131;0,179;131;0;131;0,17;131;0;0;0;0;0;0;;0,206;0,175;0,179;0,175;0,174;0,1818
56a280_v3_p1;56a280_;v3_;p1;179;0,20;179;0;179;0;179;0,197;179;0,20;179;0;0;0;0;0;0;;0,202;0,195;0,199;0,197;0,2;0,1986
60pr299_v3_p1;60pr299_;v3_;p1;172;0,20;172;0;172;0;172;0;172;0,20;172;0;0;0;0;0;0;;0,203;0,197;0,202;0,199;0,196;0,1994
64lin318_v3_p1;64lin318_;v3_;p1;291;0,14;291;0;292;0;292;0;291;0,13;292;0,003424658;0,003424658;0;0;0,003424658;0,002054795;;0;0;0,134;0,132;0;0,133
80rd400_v3_p1;80rd400_;v3_;p1;398;0,14;398;0;398;0;398;0;398;0,14;398;0;0;0;0;0;0;;0,142;0,139;0,14;0,14;0,139;0,14
84fl417_v3_p1;84fl417_;v3_;p1;318;0,16;317;0;317;0;319;0;318;0,15;319;0,003134796;0,006269592;0,006269592;0;0,003134796;0,003761755;;0;0;0;0,154;0;0,154
88pr439_v3_p1;88pr439_;v3_;p1;428;0,16;428;0;428;0;428;0;429;0,16;429;0,002331002;0,002331002;0,002331002;0,002331002;0;0,001864802;;0;0;0;0;0,158;0,158
89pcb442_v3_p1;89pcb442_;v3_;p1;426;0,20;425;0;424;0,196;424;0;424;0,19;426;0;0,002347418;0,004694836;0,004694836;0,004694836;0,003286385;;0,196;0;0;0;0;0,196
99d493_v3_p1;99d493_;v3_;p1;415;0,19;415;0;414;0;415;0;416;0,18;416;0,002403846;0,002403846;0,004807692;0,002403846;0;0,002403846;;0;0;0;0;0,181;0,181
115rat575_v4_p1;115rat575_;v4_;p1;537;0,13;538;0;536;0;534;0;538;0,14;538;0,001858736;0;0,003717472;0,007434944;0;0,00260223;0,000211488;0;0,129;0;0;0,137;0,133
115u574_v4_p1;115u574_;v4_;p1;571;0,14;571;0;571;0;571;0;571;0,13;571;0;0;0;0;0;0;;0,137;0,139;0,139;0,138;0,134;0,1374
11berlin52_v4_p1;11berlin52_;v4_;p1;46;0,15;46;0,154;46;0,151;46;0,149;46;0,15;46;0;0;0;0;0;0;;0,153;0,154;0,151;0,149;0,149;0,1512
11eil51_v4_p1;11eil51_;v4_;p1;45;0,17;45;0,162;45;0,161;45;0,156;45;0,16;45;0;0;0;0;0;0;;0,165;0,162;0,161;0,156;0,157;0,1602
131p654_v4_p1;131p654_;v4_;p1;516;0,18;516;0;516;0;516;0,174;516;0,18;516;0;0;0;0;0;0;;0,176;0,176;0,174;0,174;0,177;0,1754
132d657_v4_p1;132d657_;v4_;p1;613;0,18;615;0,177;614;0;616;0;614;0,18;616;0,00487013;0,001623377;0,003246753;0;0,003246753;0,002597403;;0;0;0;0,18;0;0,18
145u724_v4_p1;145u724_;v4_;p1;723;0,13;723;0;723;0;723;0;723;0,14;723;0;0;0;0;0;0;;0,134;0,132;0,135;0,134;0,135;0,134
14st70_v4_p1;14st70_;v4_;p1;50;0,14;50;0,147;50;0,141;50;0,139;50;0,14;50;0;0;0;0;0;0;;0,143;0,147;0,141;0,139;0,142;0,1424
157rat783_v4_p1;157rat783_;v4_;p1;781;0,18;782;0;780;0;782;0;782;0,17;782;0,001278772;0;0,002557545;0;0;0,000767263;;0;0,162;0;0,169;0,167;0,166
16eil76_v4_p1;16eil76_;v4_;p1;65;0,17;65;0,173;65;0,166;65;0,165;65;0,18;65;0;0;0;0;0;0;;0,174;0,173;0,166;0,165;0,18;0,1716
16pr76_v4_p1;16pr76_;v4_;p1;66;0,19;66;0,186;66;0,185;66;0,184;66;0,19;66;0;0;0;0;0;0;;0,185;0,186;0,185;0,184;0,185;0,185
201pr1002_v4_p1;201pr1002_;v4_;p1;1001;0,19;1001;0,193;1001;0;1001;0;1001;0,19;1001;0;0;0;0;0;0;;0,194;0,193;0,195;0,19;0,194;0,1932
20kroA100_v4_p1;20kroA100_;v4_;p1;83;79,62;83;99,163;83;86,176;83;92,982;83;82,24;83;0;0;0;0;0;0;;79,616;99,163;86,176;92,982;82,239;88,0352
20kroB100_v4_p1;20kroB100_;v4_;p1;74;122,59;74;94,35;74;149,681;74;144,387;74;126,61;74;0;0;0;0;0;0;;122,591;94,35;149,681;144,387;126,608;127,5234
20kroC100_v4_p1;20kroC100_;v4_;p1;71;84,54;71;86,619;71;89,819;71;68,82;71;76,85;71;0;0;0;0;0;0;;84,544;86,619;89,819;68,82;76,85;81,3304
20kroD100_v4_p1;20kroD100_;v4_;p1;67;117,24;67;138,552;67;85,823;67;101,608;67;99,27;67;0;0;0;0;0;0;;117,239;138,552;85,823;101,608;99,266;108,4976
20kroE100_v4_p1;20kroE100_;v4_;p1;66;64,50;66;65,037;66;65,327;66;65,862;66;66,44;66;0;0;0;0;0;0;;64,495;65,037;65,327;65,862;66,438;65,4318
