dataset_name;l=2restarts=50;duration;l=5restarts=20;duration;l=10restarts=10;duration;l=20restarts=5;duration;l=50restarts=2;duration;best;gap_1;gap_2;gap_3;gap_4;gap_5
28pr136_v3_p1;90;0.508;90;0.488;90;0.393;90;0.43;90;0.377;90;0;0;0;0;0
28pr136_v3_p2;4464;0.581;4464;0.518;4464;0.435;4464;0.416;4464;0.346;4464;0;0;0;0;0
28pr136_v4_p1;98;0.591;98;0.589;98;0.523;98;0.544;98;0.556;98;0;0;0;0;0
28pr136_v4_p2;4840;0.566;4840;0.442;4840;0.414;4840;0.387;4840;0.49;4840;0;0;0;0;0
29pr144_v2_p1;112;0.558;112;0.472;112;0.428;112;0.427;112;0.356;112;0;0;0;0;0
29pr144_v2_p2;5662;0.595;5662;0.536;5662;0.43;5662;0.413;5662;0.376;5662;0;0;0;0;0
29pr144_v3_p1;103;0.572;103;0.466;103;0.417;103;0.43;103;0.413;103;0;0;0;0;0
29pr144_v3_p2;5218;0.614;5218;0.509;5218;0.454;5218;0.418;5218;0.396;5218;0;0;0;0;0
29pr144_v4_p1;111;0.718;111;0.643;111;0.605;111;0.517;111;0.458;111;0;0;0;0;0
29pr144_v4_p2;5622;0.782;5622;0.633;5622;0.532;5622;0.456;5622;0.499;5622;0;0;0;0;0
30ch150_v2_p1;123;0.534;123;0.446;123;0.401;123;0.368;123;0.347;123;0;0;0;0;0
30ch150_v2_p2;6024;0.619;6024;0.475;6024;0.446;6024;0.388;6024;0.354;6024;0;0;0;0;0
30ch150_v3_p1;111;0.597;111;0.523;111;0.535;111;0.515;111;0.422;111;0;0;0;0;0
30ch150_v3_p2;5531;0.695;5531;0.569;5531;0.535;5531;0.445;5531;0.408;5531;0;0;0;0;0
30ch150_v4_p1;116;0.609;116;0.523;116;0.546;116;0.612;116;0.535;116;0;0;0;0;0
30ch150_v4_p2;5828;0.698;5828;0.556;5828;0.49;5828;0.462;5828;0.462;5828;0;0;0;0;0
30kroA150_v2_p1;128;0.547;128;0.438;128;0.384;128;0.345;128;0.346;128;0;0;0;0;0
30kroA150_v2_p2;6564;0.629;6564;0.537;6564;0.513;6564;0.425;6564;0.347;6564;0;0;0;0;0
30kroA150_v3_p1;125;0.657;125;0.55;125;0.594;125;0.489;125;0.456;125;0;0;0;0;0
30kroA150_v3_p2;6351;0.634;6351;0.515;6351;0.469;6351;0.416;6351;0.612;6351;0;0;0;0;0
30kroA150_v4_p1;132;0.756;132;0.569;132;0.506;132;0.463;132;0.442;132;0;0;0;0;0
30kroA150_v4_p2;6780;0.67;6780;0.524;6780;0.475;6780;0.449;6780;0.428;6780;0;0;0;0;0
30kroB150_v2_p1;136;0.571;136;0.408;136;0.463;136;0.332;136;0.319;136;0;0;0;0;0
30kroB150_v2_p2;6760;0.559;6760;0.474;6760;0.363;6760;0.349;6760;0.323;6760;0;0;0;0;0
30kroB150_v3_p1;130;0.65;130;0.507;130;0.423;130;0.397;130;0.361;130;0;0;0;0;0
30kroB150_v3_p2;6461;0.771;6461;0.597;6461;0.54;6461;0.482;6461;0.43;6461;0;0;0;0;0
30kroB150_v4_p1;137;0.704;137;0.562;137;0.479;137;0.476;137;0.41;137;0;0;0;0;0
30kroB150_v4_p2;6800;0.764;6800;0.609;6800;0.505;6800;0.444;6800;0.435;6800;0;0;0;0;0
31pr152_v2_p1;110;0.541;110;0.551;110;0.668;110;0.656;110;0.741;110;0;0;0;0;0
31pr152_v2_p2;5559;0.585;5559;0.546;5559;0.503;5559;0.554;5559;0.753;5559;0;0;0;0;0
31pr152_v3_p1;96;0.544;96;0.491;96;0.465;96;0.459;96;0.454;96;0;0;0;0;0
31pr152_v3_p2;4968;0.577;4968;0.53;4968;0.485;4968;0.482;4968;0.465;4968;0;0;0;0;0
31pr152_v4_p1;105;0.69;105;0.62;105;0.565;105;0.524;105;0.502;105;0;0;0;0;0
31pr152_v4_p2;5387;0.649;5387;0.568;5387;0.535;5387;0.517;5387;0.503;5387;0;0;0;0;0
32u159_v2_p1;127;0.777;127;0.628;127;0.616;127;0.524;127;0.504;127;0;0;0;0;0
32u159_v2_p2;6537;0.692;6540;0.583;6529;0.543;6529;0.502;6529;0.499;6540;0,000458716;0;0,001681957;0,001681957;0,001681957
32u159_v3_p1;107;0.694;107;0.681;107;0.538;107;0.501;107;0.492;107;0;0;0;0;0
32u159_v3_p2;5452;0.654;5452;0.639;5452;0.554;5452;0.501;5452;0.507;5452;0;0;0;0;0
32u159_v4_p1;109;0.807;109;0.711;109;0.656;109;0.553;109;0.551;109;0;0;0;0;0
32u159_v4_p2;5573;0.756;5573;0.643;5573;0.592;5573;0.562;5573;0.563;5573;0;0;0;0;0
39rat195_v2_p1;133;1.254;133;1.284;133;1.1;133;0.927;133;0.735;133;0;0;0;0;0
39rat195_v2_p2;6644;1.398;6644;1.316;6644;1.073;6644;1.032;6644;1.301;6644;0;0;0;0;0
39rat195_v3_p1;122;1.272;122;1.032;122;0.889;122;0.87;122;0.832;122;0;0;0;0;0
39rat195_v3_p2;6058;1.501;6058;1.389;6058;1.02;6058;0.963;6058;0.862;6058;0;0;0;0;0
39rat195_v4_p1;124;1.122;124;0.958;124;0.901;124;0.927;124;0.865;124;0;0;0;0;0
39rat195_v4_p2;6149;1.294;6149;1.146;6149;0.989;6149;1;6149;0.92;6149;0;0;0;0;0
40d198_v2_p1;125;1.031;125;0.887;125;0.883;125;0.777;125;0.671;125;0;0;0;0;0
40d198_v2_p2;6369;0.9;6369;0.844;6369;0.755;6369;0.908;6369;0.722;6369;0;0;0;0;0
40d198_v3_p1;94;0.906;94;0.791;94;0.695;94;0.656;94;0.658;94;0;0;0;0;0
40d198_v3_p2;4713;0.738;4713;0.682;4713;0.681;4713;0.66;4713;0.647;4713;0;0;0;0;0
40d198_v4_p1;94;0.804;94;0.774;94;0.752;94;0.744;94;0.743;94;0;0;0;0;0
40d198_v4_p2;4713;0.794;4713;0.753;4713;0.75;4713;0.736;4713;0.733;4713;0;0;0;0;0
40kroa200_v2_p1;187;1.245;187;1.093;187;1.035;186;0.86;186;0.963;187;0;0;0;0,005347594;0,005347594
40kroa200_v2_p2;9526;1.411;9463;1.421;9526;1.1;9465;0.806;9526;1.134;9526;0;0,006613479;0;0,006403527;0
40kroa200_v3_p1;182;1.438;182;1.169;181;1.109;182;1.047;182;1.279;182;0;0;0,005494505;0;0
40kroa200_v3_p2;9250;1.518;9250;1.421;9250;1.326;9250;1.162;9250;0.861;9250;0;0;0;0;0
40kroa200_v4_p1;191;1.384;191;1.093;191;1.099;191;0.974;191;1.299;191;0;0;0;0;0
40kroa200_v4_p2;9664;1.451;9664;1.302;9664;1.154;9664;1.146;9664;0.874;9664;0;0;0;0;0
40krob200_v2_p1;177;1.296;177;1.089;177;1.017;177;0.797;177;0.846;177;0;0;0;0;0
40krob200_v2_p2;8902;1.251;8902;1.013;8902;0.948;8902;0.874;8902;1.366;8902;0;0;0;0;0
40krob200_v3_p1;170;1.512;170;1.336;170;1.521;170;1.054;170;1.069;170;0;0;0;0;0
40krob200_v3_p2;8216;1.598;8216;1.529;8216;1.167;8216;1.152;8216;1.275;8216;0;0;0;0;0
40krob200_v4_p1;178;1.468;178;1.336;178;1.106;178;0.918;178;0.873;178;0;0;0;0;0
40krob200_v4_p2;8704;1.693;8704;1.371;8704;1.232;8704;1.196;8704;0.92;8704;0;0;0;0;0
45ts225_v2_p1;196;2.017;197;1.918;197;1.98;197;1.378;196;1.361;197;0,005076142;0;0;0;0,005076142
45ts225_v2_p2;10139;2.37;10139;2.128;10139;1.759;10139;1.922;10139;1.303;10139;0;0;0;0;0
45ts225_v3_p1;179;1.781;179;1.533;179;1.323;179;1.269;179;1.136;179;0;0;0;0;0
